"","x"
"1",5.05268898325064
"2",3.77925713516298
"3",1.47260996671454
"4",1.26941846204596
"5",1.05985086035454
"6",0.923996750856748
"7",0.746558151140609
"8",0.637756311903643
"9",0.564870757797178
"10",0.424110487244622
"11",0.289224733173926
"12",0.248949225801382
"13",0.200800463859477
"14",0.17821149719463
"15",0.0977692039997943
"16",0.0406439309296128
"17",0.0132830785697196
